accession	model_name	marker_id	domain	name	length	published_single_copy_bac120	published_ubiquity_bac120	published_single_copy_ar53	published_ubiquity_ar53	sets	ubiquity_bac	ubiquity_ar	ubiquity_pat	ubiquity_dpann	single_copy_bac	single_copy_ar	single_copy_pat	single_copy_dpann
TIGR00116	tsf	TIGR_TIGR00116	bac120	tsf	293	91.61	92.81			bac,pat	0.9812	0.0000	0.9539	0.0000	0.9915	1.0000	0.9958	1.0000
TIGR00279	uL16_euk_arch	TIGR_TIGR00279	ar53	uL16_euk_arch	172			90.52	91.31	ar	0.0000	0.9463	0.0000	0.7767	1.0000	1.0000	1.0000	0.9914
TIGR01046	uS10_euk_arch	TIGR_TIGR01046	ar53	uS10_euk_arch	99			87.44	88.19	ar,dpann	0.0000	0.9564	0.0000	0.9667	1.0000	0.9930	1.0000	0.9931
TIGR03632	uS11_bact	TIGR_TIGR03632	bac120	uS11_bact	117	87.51	88.13			bac,pat	0.9604	0.0000	0.9238	0.0000	0.9978	1.0000	0.9913	1.0000
TIGR00982	uS12_E_A	TIGR_TIGR00982	ar53	uS12_E_A	139			90.49	91.14	ar,dpann	0.0000	0.9832	0.0000	0.9867	1.0000	0.9932	1.0000	0.9966
TIGR01012	uS2_euk_arch	TIGR_TIGR01012	ar53	uS2_euk_arch	196			92.64	93.32	ar,dpann	0.0000	0.9799	0.0000	0.9667	1.0000	1.0000	1.0000	0.9897
TIGR01008	uS3_euk_arch	TIGR_TIGR01008	ar53	uS3_euk_arch	195			90.54	90.88	ar,dpann	0.0021	0.9899	0.0000	0.9900	1.0000	0.9932	1.0000	0.9966
TIGR01018	uS4_arch	TIGR_TIGR01018	ar53	uS4_arch	162			91.86	92.58	ar,dpann	0.0000	0.9765	0.0020	0.9900	1.0000	1.0000	1.0000	1.0000
TIGR01020	uS5_euk_arch	TIGR_TIGR01020	ar53	uS5_euk_arch	212			92.05	92.59	ar,dpann	0.0000	0.9966	0.0000	1.0000	1.0000	0.9933	1.0000	0.9967
TIGR01028	uS7_euk_arch	TIGR_TIGR01028	ar53	uS7_euk_arch	186			90.78	91.27	ar,dpann	0.0000	0.9866	0.0000	0.9800	1.0000	1.0000	1.0000	0.9830
TIGR03627	uS9_arch	TIGR_TIGR03627	ar53	uS9_arch	130			59.58	59.75	ar	0.0000	0.8658	0.0000	0.4600	1.0000	1.0000	1.0000	0.9928
TIGR00194	uvrC	TIGR_TIGR00194	bac120	uvrC	574	90.34	91.10			bac	0.9729	0.2718	0.7295	0.1933	0.9829	0.9877	0.9890	1.0000
TIGR00631	uvrb	TIGR_TIGR00631	bac120	uvrb	658	89.75	91.44			bac	0.9625	0.2785	0.8236	0.1867	0.9935	0.9880	0.9708	0.9821
